"id","manz_ccnct","cod_barr","barrio","zona","y_pred21","y_pred21_red","y_pred20","y_pred20_red","y_pred19","y_pred19_red","y_pred18","y_pred18_red","n2017","n2016","n2015","n2014","n2013","n2012","n2011","n2010"
921,"7600110000000019400405","1910","San Fernando Viejo","Oeste",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
922,"7600110000000019400404","1910","San Fernando Viejo","Oeste",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
923,"7600110000000019400407","1910","San Fernando Viejo","Oeste",0.0964820595809935,0,0.259000414766201,0,0.42699662113763,0,0.307666918603989,0,0,1,0,0,0,0,0,0
924,"7600110000000019400411","1910","San Fernando Viejo","Oeste",0.17144355438528,0,0.144564256289461,0,0.244162654910363,0,0.0995683126958051,0,0,0,0,0,1,0,0,0
925,"7600110000000019400414","1910","San Fernando Viejo","Oeste",0.302426788795345,0,0.486077216571529,0,0.301497682260472,0,0.476826200010689,0,1,1,0,0,0,1,1,0
926,"7600110000000019400415","1910","San Fernando Viejo","Oeste",0.144564256289461,0,0.22802207753659,0,0.0995230640310927,0,0.236329455419144,0,0,0,0,1,0,0,1,0
927,"7600110000000019400410","1910","San Fernando Viejo","Oeste",0.672884671898376,1,0.556845203779649,1,0.553229498997343,1,0.687415206561404,1,0,1,1,2,1,0,0,1
928,"7600110000000019400408","1910","San Fernando Viejo","Oeste",0.142250705086754,0,0.243689422524282,0,0.490979497566805,0,0.402757727673502,0,1,0,1,0,0,0,0,0
929,"7600110000000019400403","1910","San Fernando Viejo","Oeste",0.22802207753659,0,0.0964820595809935,0,0.245299556511904,0,0.42699662113763,0,0,0,1,0,0,0,0,0
930,"7600110000000019320109","1906","San Fernando Nuevo","El Lido",0.690538878655796,1,1.02649921512428,1,1.13599749107576,1,0.726238428520097,1,1,0,0,2,1,2,3,1
931,"7600110000000019320201","1906","San Fernando Nuevo","El Lido",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
932,"7600110000000019320204","1906","San Fernando Nuevo","El Lido",1.22567006581486,1,1.82937260125495,2,1.66240797308104,2,2.97858207234186,3,0,1,2,2,2,0,1,3
933,"7600110000000019320208","1906","San Fernando Nuevo","El Lido",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
934,"7600110000000019320207","1906","San Fernando Nuevo","El Lido",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
935,"7600110000000019400108","1910","San Fernando Viejo","Oeste",1.39271747164833,1,0.860761187560559,1,0.858314851856244,1,1.15113085739139,1,2,1,0,0,3,0,1,0
936,"7600110000000019400104","1910","San Fernando Viejo","Oeste",0.650959682923207,1,0.575052156691042,1,0.2056304610653,0,0.212891663960624,0,0,0,2,0,0,1,0,0
937,"7600110000000019310212","1908","Santa Isabel","El Lido",0.597221407588706,1,0.239038921878703,0,1.40842448150607,1,0.48980035995193,0,0,0,1,0,2,2,2,1
938,"7600110000000019310214","1908","Santa Isabel","El Lido",1.53880898787954,2,2.08416209771943,2,1.66798854040835,2,1.70425580118472,2,5,2,1,0,1,2,0,1
939,"7600110000000019310112","1908","Santa Isabel","El Lido",0.144564256289461,0,0.22802207753659,0,0.0995683126958051,0,0.245299556511904,0,0,0,0,1,0,0,0,0
940,"7600110000000019310120","1908","Santa Isabel","El Lido",1.09825388517203,1,1.89020324096786,2,0.801066966403222,1,1.30914603640649,1,2,1,2,0,2,1,2,0
941,"7600110000000019400103","1910","San Fernando Viejo","Oeste",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.149224576572222,0,0,0,0,0,0,0,0,1
942,"7600110000000019400102","1910","San Fernando Viejo","Oeste",1.39495042795137,1,0.837475885985479,1,0.827832309771389,1,0.813656394900367,1,1,2,1,1,2,2,0,1
943,"7600110000000019400101","1910","San Fernando Viejo","Oeste",0.926567679071197,1,0.858157044628777,1,0.778263074099663,1,0.668759171073703,1,0,2,0,2,0,0,1,0
944,"7600110000000019400111","1910","San Fernando Viejo","Oeste",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
945,"7600110000000019400110","1910","San Fernando Viejo","Oeste",0.710798075128827,1,0.816502108383419,1,0.660142460486156,1,1.18860539048384,1,0,0,2,0,2,0,1,2
946,"7600110000000019400205","1910","San Fernando Viejo","Oeste",0.0964820595809935,0,0.259000414766201,0,0.42699662113763,0,0.329870606960836,0,0,1,0,0,0,0,0,1
947,"7600110000000019400207","1910","San Fernando Viejo","Oeste",0.122287126439157,0,0.17144355438528,0,0.115055754816565,0,0.244162654910363,0,0,0,0,0,0,1,0,0
948,"7600110000000019400209","1910","San Fernando Viejo","Oeste",0.850345241682195,1,1.12249856863978,1,0.951189195303953,1,1.42008115259701,1,1,0,3,0,1,0,0,1
949,"7600110000000019400204","1910","San Fernando Viejo","Oeste",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
950,"7600110000000019400114","1910","San Fernando Viejo","Oeste",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.149224576572222,0,0,0,0,0,0,0,0,1
